119;ROLLO FRENOSVEN 1' 1/2  X  235 16-0009;4;30;21,94;ROLLOS;FRENOSVEN
120;ROLLO FRENOSVEN 1' 1/2  X  255 16-0010;0;28;20,54;ROLLOS;FRENOSVEN
121;ROLLO FRENOSVEN 1' 1/2  X  285 16-0011;0;35;25,93;ROLLOS;FRENOSVEN
122;ROLLO FRENOSVEN 1' 3/4  X  160 16-0018;0;21;16,57;ROLLOS;FRENOSVEN
123;ROLLO FRENOSVEN 1' 3/4  X  190 16-0019;2;25;18,28;ROLLOS;FRENOSVEN
124;ROLLO FRENOSVEN 1' 3/4  X  210 16-0020;0;26;19,02;ROLLOS;FRENOSVEN
125;ROLLO FRENOSVEN 1' 3/4  X  235 16-0021;3;27;21,23;ROLLOS;FRENOSVEN
126;ROLLO FRENOSVEN 1' 3/4  X  255 16-0022;2;30;22,27;ROLLOS;FRENOSVEN
127;ROLLO FRENOSVEN 1' 3/4  X  285 16-0023;0;34;25,27;ROLLOS;FRENOSVEN
128;ROLLO FRENOSVEN 1' 3/4 X 315 16-0025;0;45;33,42;ROLLOS;FRENOSVEN
129;ROLLO FRENOSVEN 2'  X  160 16-0026;0;31;23,16;ROLLOS;FRENOSVEN
130;ROLLO FRENOSVEN 2' x 190 16-0027;3;26;19,49;ROLLOS;FRENOSVEN
131;ROLLO FRENOSVEN 2'  X  210 16-0028;2;30;22,27;ROLLOS;FRENOSVEN
132;ROLLO FRENOSVEN 2'  X  235 16-0029;0;32;23,29;ROLLOS;FRENOSVEN
133;ROLLO FRENOSVEN 2' X 255 16-0030;3;34;25,06;ROLLOS;FRENOSVEN
134;ROLLO FRENOSVEN 2'  X  285 16-0031;2;38;27,84;ROLLOS;FRENOSVEN
135;ROLLO FRENOSVEN 2' 1/4  X  210 16-0044;3;34;25,06;ROLLOS;FRENOSVEN
136;ROLLO FRENOSVEN 2' 1/4 X235  16-0045;0;36;26,45;ROLLOS;FRENOSVEN
137;ROLLO FRENOSVEN 2' 1/4 X255 16-0046;1;38;27,84;ROLLOS;FRENOSVEN
138;ROLLO FRENOSVEN 2' 1/4  X  285 16-0047;1;41;30,62;ROLLOS;FRENOSVEN
139;ROLLO FRENOSVEN 2' 1/4  X  3/8 16-0048;1;36;26,45;ROLLOS;FRENOSVEN
140;ROLLO FRENOSVEN 2' 1/4 X 315 16-0049;0;45;33,41;ROLLOS;FRENOSVEN
141;ROLLO FRENOSVEN 2' 1/2  X  210 16-0036;1;36;26,45;ROLLOS;FRENOSVEN
142;ROLLO FRENOSVEN 2' 1/2  X  235 16-0037;1;38;27,84;ROLLOS;FRENOSVEN
143;ROLLO FRENOSVEN 2' 1/2  X  255 16-0038;8;39;29,23;ROLLOS;FRENOSVEN
144;ROLLO FRENOSVEN 2' 1/2 X285  16-0039;2;45;33,41;ROLLOS;FRENOSVEN
145;ROLLO FRENOSVEN 2' 1/2  X  3/8 16-0040;1;39;29,23;ROLLOS;FRENOSVEN
146;ROLLO FRENOSVEN 2' 1/2  X  315 16-0041;2;49;36,19;ROLLOS;FRENOSVEN
147;ROLLO FRENOSVEN 2' 3/4  X  210 16-0050;0;47;34,80;ROLLOS;FRENOSVEN
148;ROLLO FRENOSVEN 2' 3/4  X  235 16-0051;0;50;36,98;ROLLOS;FRENOSVEN
149;ROLLO FRENOSVEN 2' 3/4  X  255 16-0052;5;56;41,36;ROLLOS;FRENOSVEN
150;ROLLO FRENOSVEN 2' 3/4  X  285 16-0053;0;58;42,85;ROLLOS;FRENOSVEN
151;ROLLO FRENOSVEN 2' 3/4  X  315 16-0055;1;71;52,71;ROLLOS;FRENOSVEN
152;ROLLO FRENOSVEN 3'  X  210 (5 m) 16-0078;0;41;30,31;ROLLOS;FRENOSVEN
153;ROLLO FRENOSVEN 3'  X  255 (5 m) 16-0079;2;32;23,66;ROLLOS;FRENOSVEN
154;ROLLO FRENOSVEN 3' X 285 X5MTS 16-0072;1;36;26,45;ROLLOS;FRENOSVEN
155;ROLLO FRENOSVEN 3' X 315 X 5MTS 16-0073;8;38;27,84;ROLLOS;FRENOSVEN
156;ROLLO FRENOSVEN 3'  X  3/8 16-0082;6;47;34,80;ROLLOS;FRENOSVEN
157;ROLLO FRENOSVEN 3' 1/2  X  210 X 5 MTS 16-0076;0;54;39,90;ROLLOS;FRENOSVEN
158;ROLLO FRENOSVEN 3' 1/2  X  235 X 5 MTS 16-0077;0;55;40,77;ROLLOS;FRENOSVEN
159;ROLLO FRENOSVEN 3' 1/2  X  255 (5 m) 16-0081;0;36;26,45;ROLLOS;FRENOSVEN
160;ROLLO FRENOSVEN 3' 1/2 X 285 X 5MTS 16-0074;2;39;29,23;ROLLOS;FRENOSVEN
161;ROLLO FRENOSVEN 3' 1/2 X 315 X 5 MTS 16-0075;10;43;32,02;ROLLOS;FRENOSVEN
162;ROLLO FRENOSVEN 3' 1/2  X  3/8 16-0083;1;52;37,58;ROLLOS;FRENOSVEN
163;TACO 21-0001  728  A;0;1,37;1,00;TACOS;
164;TACO 21-0002 7013  E;0;1,24;0,90;TACOS;
165;TACO 21-0003 7013  I;0;1,14;0,84;TACOS;
166;TACO 21-0004 7017  E;0;0,97;0,71;TACOS;
167;TACO 21-0005 7017  I;0;0,95;0,70;TACOS;
168;TACO 21-0006 7024  E;0;1,45;1,06;TACOS;
169;TACO 21-0007 7024  I;0;1,48;1,08;TACOS;
170;TACO 21-0008 7054;0;1,70;1,24;TACOS;
171;TACO 21-0009 736;0;0,54;0,39;TACOS;
172;TACO 21-0010 7069;0;0,81;0,59;TACOS;
173;TACO 21-0011 7070;0;1,13;0,82;TACOS;
174;TACO 21-0012 7072 E;0;0,97;0,71;TACOS;
175;TACO 21-0013 7072 I;0;0,97;0,71;TACOS;
176;TACO 21-0014 7136 E;0;0,76;0,56;TACOS;
177;TACO 21-0015 7136 I;0;0,86;0,63;TACOS;
178;TACO 21-0016 7176;0;0,78;0,57;TACOS;
179;TACO 21-0017 7082 I;0;1,14;0,84;TACOS;
180;TACO 21-0018 7153;0;0,84;0,61;TACOS;
181;TACO 21-0019 7082 E;0;1,08;0,79;TACOS;
182;TACO 21-0020 7019 I;0;1,08;0,79;TACOS;
183;TACO 21-0021 7019 E;0;1,08;0,79;TACOS;
184;TACO 21-0023 7027 E;0;1,00;0,73;TACOS;
185;TACO 21-0024 7097 A;0;0,73;0,53;TACOS;
186;TACO 21-0025 316;0;0,67;0,49;TACOS;
187;TACO 21-0026 347;0;0,73;0,53;TACOS;
188;TACO 21-0027 7123;0;0,73;0,53;TACOS;
189;TACO 21-0028 786;0;0,73;0,53;TACOS;
190;TACO 21-0029 771;0;1,16;0,85;TACOS;
191;TACO 21-0030 7201;0;0,92;0,67;TACOS;
192;TACO 21-0031 7117 I;0;0,76;0,56;TACOS;
193;TACO 21-0032 7117 E;0;0,83;0,60;TACOS;
194;TACO 21-0033 781;0;0,97;0,71;TACOS;
195;TACO 21-0034 7122 I;0;0,97;0,71;TACOS;
196;TACO 21-0035 7122 E;0;1,03;0,75;TACOS;
197;TACO 21-0036 7194;0;0,78;0,57;TACOS;
198;TACO 21-0037 7083 I;0;0,89;0,65;TACOS;
199;TACO 21-0038 773 I;0;1,00;0,73;TACOS;
200;TACO 21-0039 773 I;0;1,21;0,88;TACOS;
201;TACO 21-0042 7083 E;0;0,95;0,70;TACOS;
202;TACO 21-0043 317;0;0,91;0,66;TACOS;
203;TACO 21-0044 325;0;0,68;0,50;TACOS;
204;TACO 21-0046 7188;0;0,91;0,66;TACOS;
205;TACO 21-0047 7779;0;0,81;0,59;TACOS;
206;TACO 21-0048 581;0;0,68;0,50;TACOS;
207;TACO 21-0049 7389;0;0,75;0,55;TACOS;
208;TACO 21-0050 8433;0;0,75;0,55;TACOS;
209;REMACHE ALUMINIO 10-10 PACK 2000 U;6;95;70,00;REMACHES;RIVETS
210;REMACHE ALUMINIO 4-5 PACK 2000 U;0;25;17,60;REMACHES;RIVETS
211;REMACHE ALUMINIO 7-5 PACK 2000 U;0;45;30,80;REMACHES;RIVETS
212;REMACHE ALUMINIO 10-8 PACK 2000 U;0;95;61,80;REMACHES;RIVETS
